Name, Min, Max, Default, Requirement, Description
**numProcsX:** Number of cores to be used for horizontal domain decomposition in X, 1, INT_MAX, , M
**numProcsY:** Number of cores to be used for horizontal domain decomposition in Y, 1, INT_MAX, , M
